You are helping an EasyCrypt proof: an SMT solver must prove the goal below.
From the candidate lemmas (axioms available in the environment), pick the ones
the solver actually NEEDS. Most goals need only 1-3 of them.

goal_id: examples/MEE-CBC/RCPA_CMA.ec::CVC5:8
source file: examples/MEE-CBC/RCPA_CMA.ec

GOAL:
(assert (not (forall ((p EtM_leaks)) (Distr_is_lossless1 (Distr_bqasbq1 (EtM_dC p) (Distr_MUnit_dunit1 witness2))))))

CANDIDATE LEMMAS (1595 names):
- Binomial_BCR_binomial
- Binomial_bin'def
- Binomial_bin1'def
- Binomial_bin1_ho_spec
- Binomial_binp
- Bool_BoolFin_card_size_to_seq
- Bool_BoolFin_count_mem
- Bool_BoolFin_enumP
- Bool_BoolFin_enum_spec
- Bool_BoolFin_enum_uniq
- Bool_BoolFin_is_finite_for
- Bool_BoolFin_perm_eq_enum_to_seq
- Bool_^^'def
- Bool_^^_ho_spec
- CoreInt_absz'def
- Core_<='def
- Core_fixfinfun'def
- Core_fixfinfun0
- Core_oget_none
- Core_pred1E
- Core_predCU
- Core_predIT
- Core_predTI
- Core_predT_comp
- Core_predTofV
- Discrete_IntList_countable
- Discrete_IntPair_countable
- Discrete_cnt_int
- Discrete_cnt_list
- Discrete_cnt_option
- Discrete_cnt_prod
- Discrete_countable'def
- Discrete_inj_condL_countable
- Distr_+'def
- Distr_+_sort
- Distr_DConditional_dcond'def
- Distr_DConditional_dcond1E
- Distr_DConditional_dcondE
- Distr_DConditional_dcondZ
- Distr_DConditional_dcond_ll
- Distr_DConditional_dcond_sort
- Distr_DConditional_mu_dcond_ge
- Distr_DScalar_dscalar'def
- Distr_DScalar_dscalar1
- Distr_DScalar_dscalar1E
- Distr_DScalar_dscalarE
- Distr_DScalar_dscalar_fu
- Distr_DScalar_dscalar_ll
- Distr_DScalar_dscalar_sort
- Distr_DScalar_dscalar_uni
- Distr_DScalar_isdistr_mscalar
- Distr_DScalar_mscalar'def
- Distr_DScalar_mscalar_ho_sort
- Distr_DScalar_mscalar_ho_spec
- Distr_DScalar_supp_dscalar
- Distr_DScalar_weight_dscalar
- Distr_Distr
- Distr_E'def
- Distr_E_split
- Distr_E_splits
- Distr_Ec'def
- Distr_MIntUniform_drange'def
- Distr_MIntUniform_drange1E
- Distr_MIntUniform_drangeE
- Distr_MIntUniform_drange_ll
- Distr_MRat_drat'def
- Distr_MRat_dratE
- Distr_MRat_drat_ll
- Distr_MRat_drat_sort
- Distr_MRat_eq_dratP
- Distr_MRat_eq_ratl'def
- Distr_MRat_eq_sz_dratP
- Distr_MRat_mrat'def
- Distr_MRat_mrat_ho_sort
- Distr_MRat_mrat_ho_spec
- Distr_MRat_perm_eq_drat
- Distr_MRat_prratE
- Distr_MRat_supp_drat
- Distr_MUniform_duniform'def
- Distr_MUniform_duniform1E
- Distr_MUniform_duniform1E_uniq
- Distr_MUniform_duniformE
- Distr_MUniform_duniform_ll
- Distr_MUniform_duniform_sort
- Distr_MUnit_dunit'def
- Distr_MUnit_dunit1E
- Distr_MUnit_dunit1xx
- Distr_MUnit_dunitE
- Distr_MUnit_dunit_ho_sort
- Distr_MUnit_dunit_ho_spec
- Distr_MUnit_dunit_ll
- Distr_MUnit_dunit_sort
- Distr_MUnit_dunit_uni
- Distr_MUnit_finite_dunit
- Distr_MUnit_pmax_dunit
- Distr_MUnit_supp_dunit
- Distr_`*`'def
- Distr_`*`_sort
- Distr_const_weight_dlet
- Distr_countable_mu1
- Distr_dadd1E
- Distr_daddE
- Distr_dbin'def
- Distr_dbin1E
- Distr_dfold'def
- Distr_dfold0
- Distr_dfold_sort
- Distr_distrW
- Distr_djoin1E
- Distr_djoin_axE
- Distr_djoin_cat
- Distr_djoin_cons
- Distr_djoin_cons1E
- Distr_djoin_cons1nilE
- Distr_djoin_consE
- Distr_djoin_ll
- Distr_djoin_nil
- Distr_djoin_nil1E
- Distr_djoin_nilE
- Distr_djoin_perm_s1s
- Distr_djoin_rcons
- Distr_djoin_seq1
- Distr_dlet'def
- Distr_dlet1E
- Distr_dletE
- Distr_dletE_bool
- Distr_dlet_cst
- Distr_dlet_cst_weight
- Distr_dlet_d_unit
- Distr_dlet_ll
- Distr_dlet_muE
- Distr_dlet_muE_swap
- Distr_dlet_sort
- Distr_dlet_unit
- Distr_dmap'def
- Distr_dmap1E
- Distr_dmap1E_can
- Distr_dmapE
- Distr_dmap_bij
- Distr_dmap_cst
- Distr_dmap_dprod
- Distr_dmap_dprodE
- Distr_dmap_dprodE_swap
- Distr_dmap_dprodL
- Distr_dmap_dprodR
- Distr_dmap_dprod_comp
- Distr_dmap_dunit
- Distr_dmap_ll
- Distr_dmap_sort
- Distr_dnull1E
- Distr_dnullE
- Distr_dopt'def
- Distr_dopt1E
- Distr_doptE
- Distr_dopt_ll
- Distr_dopt_sort
- Distr_dprod1E
- Distr_dprodC
- Distr_dprodE
- Distr_dprodEl
- Distr_dprodEr
- Distr_dprod_cross
- Distr_dprod_def
- Distr_dprod_dlet
- Distr_dprod_dmap_cross
- Distr_dprod_dunit
- Distr_dprod_fu
- Distr_dprod_fu_auto
- Distr_dprod_funi
- Distr_dprod_ll
- Distr_dprod_ll_auto
- Distr_dprod_marginalL
- Distr_dprod_marginalR
- Distr_dprod_partition
- Distr_dprod_uni
- Distr_drestrict'def
- Distr_drestrict1E
- Distr_drestrictE
- Distr_drestrictE_le
- Distr_drestrict_sort
- Distr_dscale'def
- Distr_dscale1E
- Distr_dscaleE
- Distr_dscale_ll
- Distr_dscale_sort
- Distr_eq0_mu
- Distr_eq1_mu
- Distr_eq_distr
- Distr_eq_funi
- Distr_eq_funi_ll
- Distr_expC
- Distr_expC_cond
- Distr_expC_prod
- Distr_expD_cond
- Distr_exp_cond_dlet_ilvt
- Distr_exp_cond_dunit
- Distr_exp_cond_eq0
- Distr_exp_cond_ge0
- Distr_exp_dnull
- Distr_exp_drestrict
- Distr_exp_duniform
- Distr_exp_dunit
- Distr_exp_eq0
- Distr_exp_ge0
- Distr_fin_expE
- Distr_fin_muE
- Distr_finite_dprod
- Distr_funi_ll_full
- Distr_funi_neq0_full
- Distr_ge0_isdistr
- Distr_ge0_mu
- Distr_ge0_mu1
- Distr_ge0_weight
- Distr_hasE'def
- Distr_hasE_cond
- Distr_has_fub_mu1
- Distr_in_dmap1E_can
- Distr_is_full'def
- Distr_is_funiform'def
- Distr_is_lossless'def
- Distr_is_losslessP
- Distr_is_uniform'def
- Distr_iscoupling'def
- Distr_iscpl_dunit
- Distr_iscpl_muL
- Distr_iscpl_muR
- Distr_iscpl_weight
- Distr_iscpl_weightL
- Distr_iscpl_weightR
- Distr_isdistr_finP
- Distr_isdistr_ind
- Distr_isdistr_madd
- Distr_isdistr_mbin
- Distr_isdistr_mprod
- Distr_isdistr_mu1
- Distr_le1_isdistr
- Distr_le1_mu
