You are helping an EasyCrypt proof: an SMT solver must prove the goal below.
From the candidate lemmas (axioms available in the environment), pick the ones
the solver actually NEEDS. Most goals need only 1-3 of them.

goal_id: examples/upto_syntaxtic.ec::CVC5:1
source file: examples/upto_syntaxtic.ec

GOAL:
(assert (not (<= (+ (+ (mu1 (M_slmain Tuple0 etm) unamed_lambda) (mu1 (M_slmain Tuple0 etm) unamed_lambda1)) (- (+ (mu1 (Mqt_slmain Tuple0 etm) unamed_lambda) (mu1 (M_slmain Tuple0 etm) unamed_lambda1)))) (mu1 (M_slmain Tuple0 etm) unamed_lambda))))

CANDIDATE LEMMAS (1082 names):
- Binomial_bin'def
- Binomial_bin1'def
- Binomial_bin1_ho_spec
- Core_<='def
- Discrete_countable'def
- Distr_+'def
- Distr_+_sort
- Distr_DConditional_dcond'def
- Distr_DConditional_dcondE
- Distr_DConditional_dcondZ
- Distr_DConditional_dcond_ll
- Distr_DConditional_dcond_sort
- Distr_DConditional_mu_dcond_ge
- Distr_DScalar_dscalar'def
- Distr_DScalar_dscalar1E
- Distr_DScalar_dscalarE
- Distr_DScalar_dscalar_fu
- Distr_DScalar_dscalar_ll
- Distr_DScalar_dscalar_sort
- Distr_DScalar_dscalar_uni
- Distr_DScalar_isdistr_mscalar
- Distr_DScalar_mscalar'def
- Distr_DScalar_mscalar_ho_sort
- Distr_DScalar_mscalar_ho_spec
- Distr_DScalar_supp_dscalar
- Distr_DScalar_weight_dscalar
- Distr_E'def
- Distr_E_split
- Distr_Ec'def
- Distr_Ec_split
- Distr_Jensen_fin_concave
- Distr_MRat_drat'def
- Distr_MRat_drat_ll
- Distr_MRat_drat_sort
- Distr_MRat_mrat'def
- Distr_MRat_mrat_ho_sort
- Distr_MRat_mrat_ho_spec
- Distr_MUnit_dunit'def
- Distr_MUnit_dunit1E
- Distr_MUnit_dunit1xx
- Distr_MUnit_dunitE
- Distr_MUnit_dunit_ho_sort
- Distr_MUnit_dunit_ho_spec
- Distr_MUnit_dunit_ll
- Distr_MUnit_dunit_sort
- Distr_`*`'def
- Distr_`*`_sort
- Distr_const_weight_dlet
- Distr_countable_mu1
- Distr_dadd1E
- Distr_daddE
- Distr_dbin'def
- Distr_dbin1E
- Distr_djoin_cons1E
- Distr_djoin_nil1E
- Distr_djoin_nilE
- Distr_dlet'def
- Distr_dlet1E
- Distr_dletE
- Distr_dletE_bool
- Distr_dlet_cst_weight
- Distr_dlet_sort
- Distr_dmap'def
- Distr_dmap1E
- Distr_dmap1E_can
- Distr_dmapE
- Distr_dmap_bij
- Distr_dmap_sort
- Distr_dnull1E
- Distr_dnullE
- Distr_dopt'def
- Distr_dopt1E
- Distr_doptE
- Distr_dopt_sort
- Distr_dprod1E
- Distr_dprodE
- Distr_dprodEl
- Distr_dprodEr
- Distr_dprod_def
- Distr_dprod_marginalL
- Distr_dprod_marginalR
- Distr_dprod_partition
- Distr_drestrict'def
- Distr_drestrict1E
- Distr_drestrictE
- Distr_drestrictE_le
- Distr_drestrict_sort
- Distr_dscale'def
- Distr_dscaleE
- Distr_dscale_ll
- Distr_dscale_sort
- Distr_eq0_mu
- Distr_eq1_mu
- Distr_eq_distr
- Distr_eq_funi
- Distr_expB
- Distr_expC
- Distr_expC_cond
- Distr_expD
- Distr_expD_cond
- Distr_expN
- Distr_exp_cond_ge0
- Distr_exp_drestrict
- Distr_exp_ge0
- Distr_exp_norm
- Distr_funi_neq0_full
- Distr_ge0_isdistr
- Distr_ge0_mu
- Distr_ge0_mu1
- Distr_ge0_weight
- Distr_hasE'def
- Distr_hasEN
- Distr_hasE_le
- Distr_has_fub_mu1
- Distr_in_dmap1E_can
- Distr_in_ler_exp
- Distr_in_ler_exp_cond
