You are helping an EasyCrypt proof: an SMT solver must prove the goal below.
From the candidate lemmas (axioms available in the environment), pick the ones
the solver actually NEEDS. Most goals need only 1-3 of them.

goal_id: examples/UC/dh_enc.ec::Z3:5
source file: examples/UC/dh_enc.ec

GOAL:
(assert (not (forall ((et1 (tuple2 (tuple23 role (tuple3 party party tuple0) (tuple3 party party tuple0) (tuple3 party party tuple0) (Logic_option (Composition_sum DH_G_group DH_G_group)) (Composition_sum (tuple2 role (tuple3 party party DH_G_group)) (tuple2 role (tuple3 party party DH_G_group))) (Composition_sum (tuple2 role (tuple3 party party tuple0)) (tuple2 role (tuple3 party party tuple0))) (Logic_option DH_G_group) (Logic_option DH_G_group) (Logic_option (Composition_sum DH_G_group DH_G_group)) (Composition_sum (tuple2 role (tuple3 party party DH_G_group)) (tuple2 role (tuple3 party party DH_G_group))) role (tuple3 party party DH_G_group) role (tuple3 party party DH_G_group) role (tuple3 party party tuple0) role (tuple3 party party tuple0) role (tuple3 party party DH_G_group) role (tuple3 party party DH_G_group)) memory)) (et2 (tuple2 (tuple2 role (tuple3 party party tuple0)) memory))) (=> (and (and (= (proj23_0 (proj2_0 et1)) (proj2_0 (proj2_0 et2))) (= (proj23_1 (proj2_0 et1)) (proj2_1 (proj2_0 et2)))) (and (= (DHKE_DHKE_Initiator_sl_X (proj2_1 et1)) (DHKE_DHKE_SIM_sl_X (proj2_1 et2))) (and (= (DHKE_DHKE_Responder_sl_Y (proj2_1 et1)) (DHKE_DHKE_SIM_sl_Y (proj2_1 et2))) (and (= (DHKE_DHKE_SIM_sl_Keager (proj2_1 et1)) (DHKE_FKE_key (DHKE_FKE_FKE_slst (proj2_1 et2)))) (match (DHKE_FKE_kst (DHKE_FKE_FKE_slst (proj2_1 et2))) ( (DHKE_FKE_KE_Init (and (= (DHKE_DHKE_Initiator_slst (proj2_1 et1)) DHKE_IInit) (and (= (DHKE_DHKE_Responder_slst (proj2_1 et1)) DHKE_RWaiting) (and (= (DHKE_HybFChan_F2Auth_FAuthLR_FAuth_slst (proj2_1 et1)) (as Ch_Init (stlkg (tuple3 party party DH_G_group)))) (and (= (DHKE_HybFChan_F2Auth_FAuthRL_FAuth_slst (proj2_1 et1)) (as Ch_Init (stlkg (tuple3 party party DH_G_group)))) (and (= (DHKE_SimAuth_FAuthLR_FAuth_slst (proj2_1 et2)) (as Ch_Init (stlkg (tuple3 party party DH_G_group)))) (and (= (DHKE_SimAuth_FAuthRL_FAuth_slst (proj2_1 et2)) (as Ch_Init (stlkg (tuple3 party party DH_G_group)))) (and (= (DHKE_DHKE_Initiator_sl_K (proj2_1 et1)) (as Logic_None (Logic_option DH_G_group))) (= (DHKE_DHKE_Responder_sl_K (proj2_1 et1)) (as Logic_None (Logic_option DH_G_group))))))))))) ((DHKE_FKE_KE_Blocked1 x17) (and (= (DHKE_DHKE_Initiator_slp (proj2_1 et1)) x17) (and (= (DHKE_DHKE_Initiator_slst (proj2_1 et1)) DHKE_ISent) (and (= (DHKE_DHKE_Responder_slst (proj2_1 et1)) DHKE_RWaiting) (and (= (DHKE_HybFChan_F2Auth_FAuthLR_FAuth_slst (proj2_1 et1)) (Ch_Blocked2 (Tuple3 (proj3_0 (DHKE_DHKE_Initiator_slp (proj2_1 et1))) (proj3_1 (DHKE_DHKE_Initiator_slp (proj2_1 et1))) (DHKE_DHKE_Initiator_sl_X (proj2_1 et1))))) (and (= (DHKE_HybFChan_F2Auth_FAuthRL_FAuth_slst (proj2_1 et1)) (as Ch_Init (stlkg (tuple3 party party DH_G_group)))) (and (= (DHKE_SimAuth_FAuthLR_FAuth_slst (proj2_1 et2)) (as Ch_Init (stlkg (tuple3 party party DH_G_group)))) (and (= (DHKE_SimAuth_FAuthRL_FAuth_slst (proj2_1 et2)) (as Ch_Init (stlkg (tuple3 party party DH_G_group)))) (and (= (DHKE_DHKE_Initiator_sl_K (proj2_1 et1)) (as Logic_None (Logic_option DH_G_group))) (= (DHKE_DHKE_Responder_sl_K (proj2_1 et1)) (as Logic_None (Logic_option DH_G_group)))))))))))) ((DHKE_FKE_KE_Wait x18) (and (= (DHKE_DHKE_Initiator_slp (proj2_1 et1)) x18) (and (= (DHKE_DHKE_Initiator_slst (proj2_1 et1)) DHKE_ISent) (and (= (DHKE_DHKE_Responder_slst (proj2_1 et1)) DHKE_RWaiting) (and (= (DHKE_HybFChan_F2Auth_FAuthLR_FAuth_slst (proj2_1 et1)

CANDIDATE LEMMAS (64 names, pre-ranked by relevance):
- DHKE_HybFChan_F2Auth_FAuthLR_set_msg'def
- DHKE_HybFChan_F2Auth_FAuthRL_set_msg'def
- List_assoc_cons
- DHKE_FKE_party_start'def
- List_assocP
- List_assoc_none
- List_assoc_head
- List_assoc_some
- List_assoc_some_onth_mem
- List_onth_zip_some
- DHKE_HybFChan_get_msg'def
- DHKE_HybFChan_leakpkg'def
- List_zip'def
- FMap_fdomP
- List_assocTP
- List_ohead'def
- List_ohead_head
- Ch_Blocked1_proj_1'def
- FMap_FindIn
- FMap_find_not_none
- FMap_find_some
- List_ohead_cons
- Ch_Blocked2_proj_1'def
- FMap_find_spec_ind
- FMap_offsetmapN
- MapAux_get_none
- FMap_dom'def
- FMap_domE
- FMap_get_set_id
- FMap_offsetmapT
- FMap_set_get_eq
- List_onth_index
- Logic_pinvN
- Core_oget_some
- FMap_eq_in_filter
- FMap_find_some_unique
- FMap_get_setE
- FMap_o_pair_none
- List_onth_mem
- Logic___o_ho_spec
- MapAux_get_some
- MapAux_set_eq
- stlkg_inversion
- FMap_domNE
- FMap_get_set_sameE
- FMap_set_valE
- List_assoc_filter
- List_onth_some_mem
- Core_someI
- FMap_get_none
- FMap_get_some
- FMap_remE
- List_pmap_inj_in_uniq
- Logic_pcancel'def
- Logic_pinv_inv
- Ch_Blocked1_proj_1_sort
- Ch_Blocked2_proj_1_sort
- FMap_emptyE
- FMap_fmapP
- FMap_get_set_eqE
- FMap_rng'def
- List_assoc_nil
- List_onth_map_some
- List_pmapP

Answer with up to 8 candidate names, ranked most-necessary first, copied
EXACTLY from the list above.
