You are helping an EasyCrypt proof: an SMT solver must prove the goal below.
From the candidate lemmas (axioms available in the environment), pick the ones
the solver actually NEEDS. Most goals need only 1-3 of them.

goal_id: examples/upto_syntaxtic.ec::Z3:3
source file: examples/upto_syntaxtic.ec

GOAL:
(assert (not (<= (Real_bqbr_br (+ (+ (mu1 (M_slmain Tuple0 etm) unamed_lambda) (mu1 (M_slmain Tuple0 etm) unamed_lambda1)) (- (+ (mu1 (Mqt_slmain Tuple0 etm) unamed_lambda) (mu1 (M_slmain Tuple0 etm) unamed_lambda1))))) (StdOrder_RealOrder_maxr (mu1 (M_slmain Tuple0 etm) unamed_lambda) (mu1 (Mqt_slmain Tuple0 etm) unamed_lambda)))))

CANDIDATE LEMMAS (64 names, pre-ranked by relevance):
- StdOrder_RealOrder_ler_norm_maxr
- StdOrder_RealOrder_upto_maxr
- StdOrder_RealOrder_ler_maxrP
- StdOrder_RealOrder_ler_maxl
- StdOrder_RealOrder_ler_maxr
- StdOrder_RealOrder_ler_maxr_trans
- StdOrder_RealOrder_ltr_maxrP
- StdOrder_RealOrder_maxrl
- StdOrder_RealOrder_maxr_ub
- StdOrder_RealOrder_maxrr
- StdOrder_RealOrder_maxr'def
- StdOrder_RealOrder_maxrE
- Real_upto_abs
- StdOrder_RealOrder_maxrA
- Real_upto2_abs
- StdOrder_RealOrder_ler_normr
- StdOrder_RealOrder_ltr_nnorml
- StdOrder_RealOrder_maxrC
- StdOrder_RealOrder_ler_minl
- StdOrder_RealOrder_ler_minr
- StdOrder_RealOrder_ler_norm
- StdBigop_Bigreal_big_normr
- StdOrder_RealOrder_ler_norml
- StdOrder_RealOrder_minrl
- StdOrder_RealOrder_ler_dist_add
- StdOrder_RealOrder_minrr
- StdOrder_RealOrder_ler_def
- StdOrder_RealOrder_ler_norm_sub
- StdOrder_RealOrder_ler_sub_dist
- Distr_mu_has_le
- StdOrder_RealOrder_normr_ge0
- Distr_mu_mem_le
- StdOrder_RealOrder_ler_dist_dist
- StdOrder_RealOrder_minr'def
- StdOrder_RealOrder_ger0_def
- StdOrder_RealOrder_ler_nnorml
- StdOrder_RealOrder_ltr_normr
- StdOrder_RealOrder_minrE
- StdOrder_RealOrder_minr_lb
- StdOrder_RealOrder_ger0_norm
- StdOrder_RealOrder_ler_norm_add
- StdOrder_RealOrder_ler_sub_norm_add
- Real_upto_le
- RealExp_exp_mono
- Real_`___'def
- StdOrder_RealOrder_eqr_norm_id
- StdOrder_RealOrder_eqr_norml
- StdOrder_RealOrder_ler0_def
- StdOrder_RealOrder_ltr_norml
- StdOrder_RealOrder_normr_idP
- Distr_Distr
- Distr_mu_mem_le_mu1
- StdOrder_RealOrder_ler_dist_norm_add
- StdOrder_RealOrder_ler0_norm
- Distr_exp_norm
- RealSeries_abs_pos_ler
- StdBigop_Bigreal_prodr_ge0
- StdBigop_Bigreal_sumr_ge0
- RealSeries_abs_neg_ler
- StdBigop_BBO_b2r_big
- StdOrder_RealOrder_ler_gtF
- Distr_p_max'def
- StdBigop_Bigreal_gt0_prodr_seq
- StdBigop_Bigreal_ler_sum

Answer with up to 8 candidate names, ranked most-necessary first, copied
EXACTLY from the list above.
