You are helping an EasyCrypt proof: an SMT solver must prove the goal below.
From the candidate lemmas (axioms available in the environment), pick the ones
the solver actually NEEDS. Most goals need only 1-3 of them.

goal_id: examples/old/trapdoor.ec::CVC5:1
source file: examples/old/trapdoor.ec

GOAL:
(assert (not (forall ((p Real) (q Real) (r Real)) (=> (<= 0.0 r) (=> (<= p q) (<= (* r p) (* r q)))))))

CANDIDATE LEMMAS (1322 names):
- Binomial_BCR_binomial
- Binomial_bin'def
- Binomial_bin1'def
- Binomial_bin1_ho_spec
- CoreInt_absz'def
- Core_<='def
- DInterval_dinter'def
- DInterval_dinter1E
- DInterval_dinterE
- DInterval_supp_dinter1E
- DInterval_weight_dinter
- Discrete_countable'def
- Distr_+'def
- Distr_+_sort
- Distr_DConditional_dcond'def
- Distr_DConditional_dcond1E
- Distr_DConditional_dcondE
- Distr_DConditional_dcondZ
- Distr_DConditional_dcond_ll
- Distr_DConditional_dcond_sort
- Distr_DConditional_mu_dcond_ge
- Distr_DScalar_dscalar'def
- Distr_DScalar_dscalar1
- Distr_DScalar_dscalar1E
- Distr_DScalar_dscalarE
- Distr_DScalar_dscalar_fu
- Distr_DScalar_dscalar_ll
- Distr_DScalar_dscalar_sort
- Distr_DScalar_dscalar_uni
- Distr_DScalar_isdistr_mscalar
- Distr_DScalar_mscalar'def
- Distr_DScalar_mscalar_ho_sort
- Distr_DScalar_mscalar_ho_spec
- Distr_DScalar_supp_dscalar
- Distr_DScalar_weight_dscalar
- Distr_Distr
- Distr_E'def
- Distr_E_split
- Distr_Ec'def
- Distr_MIntUniform_drange'def
- Distr_MIntUniform_drange1E
- Distr_MIntUniform_drangeE
- Distr_MRat_drat'def
- Distr_MRat_dratE
- Distr_MRat_drat_ll
- Distr_MRat_drat_sort
- Distr_MRat_mrat'def
- Distr_MRat_mrat_ho_sort
- Distr_MRat_mrat_ho_spec
- Distr_MRat_prratE
- Distr_MUniform_duniform'def
- Distr_MUniform_duniform1E
- Distr_MUniform_duniform1E_uniq
- Distr_MUniform_duniformE
- Distr_MUniform_duniform_sort
- Distr_MUnit_dunit'def
- Distr_MUnit_dunit1E
- Distr_MUnit_dunit1xx
- Distr_MUnit_dunitE
- Distr_MUnit_dunit_ho_sort
- Distr_MUnit_dunit_ho_spec
- Distr_MUnit_dunit_ll
- Distr_MUnit_dunit_sort
- Distr_MUnit_pmax_dunit
