You are helping an EasyCrypt proof: an SMT solver must prove the goal below.
From the candidate lemmas (axioms available in the environment), pick the ones
the solver actually NEEDS. Most goals need only 1-3 of them.

goal_id: examples/hashed_elgamal_std.ec::CVC5:1
source file: examples/hashed_elgamal_std.ec

GOAL:
(assert (not (<= (Real_bqbr_br (+ (mu1 (DH_DDH_DDH0lpDDHAdvlpArprp_slmain Tuple0 etm) unamed_lambda) (- (/ 1.0 2.0)))) (+ (Real_bqbr_br (+ (mu1 (DH_DDH_DDH0lpDDHAdvlpArprp_slmain Tuple0 etm) unamed_lambda) (- (mu1 (EntropySmoothing_ES1lpESAdvlpArprp_slmain Tuple0 etm) unamed_lambda)))) (Real_bqbr_br (+ (/ 1.0 2.0) (- (mu1 (EntropySmoothing_ES1lpESAdvlpArprp_slmain Tuple0 etm) unamed_lambda))))))))

CANDIDATE LEMMAS (64 names, pre-ranked by relevance):
- ddh1_es1
- es0_Gb
- Distr_exp_norm
- Real_upto2_abs
- Real_upto_abs
- StdOrder_RealOrder_ler0_def
- StdOrder_RealOrder_ler_def
- StdOrder_RealOrder_ler_sub_dist
- Distr_Distr
- Distr_ge0_mu1
- Distr_mu_mem_le_mu1
- StdOrder_RealOrder_ler0_norm
- StdOrder_RealOrder_ler_dist_dist
- StdOrder_RealOrder_ler_norml
- StdOrder_RealOrder_ler_normr
- StdOrder_RealOrder_ltr_nnorml
- Distr_ge0_weight
- StdBigop_Bigreal_big_normr
- StdOrder_RealOrder_ler_norm_sub
- Distr_ge0_mu
- Distr_mu_mem_le
- Distr_mu_sub
- StdOrder_RealOrder_ler_dist_add
- Distr_mopt'def
- StdOrder_RealOrder_eqr_norml
- StdOrder_RealOrder_ger0_def
- StdOrder_RealOrder_ler_nnorml
- StdOrder_RealOrder_ler_norm
- StdOrder_RealOrder_normr_ge0
- StdOrder_RealOrder_upto_maxr
- Distr_le1_mu
- Distr_mu_has_le
- Distr_support'def
- Real_`___'def
- StdOrder_RealOrder_eqr_normN
- StdOrder_RealOrder_eqr_norm_id
- StdOrder_RealOrder_ler_sub_norm_add
- Distr_hasE_le
- Distr_isdistr_finP
- Distr_le1_mu1
- Distr_le_dprod_or
- Distr_mu_bounded
- Real_upto_le
- StdOrder_RealOrder_ger0_norm
- StdOrder_RealOrder_ler_dist_norm_add
- StdOrder_RealOrder_normr_idP
- Distr_le1_mu1_fin
- Distr_le_djoin_size
- RealSeries_abs_neg_ler
- RealExp_ln_mono
- RealExp_log_mono
- RealSeries_neg_ler
- StdBigop_BBO_b2r_big
- StdOrder_RealOrder_ler_norm_add
- StdOrder_RealOrder_ltr_norml
- Distr_pmax_gt0
- RealExp_exp_mono
- RealExp_ln_ge0
- RealSeries_abs_pos_ler
- StdBigop_Bigreal_prodr_ge0
- StdBigop_Bigreal_sumr_ge0
- StdOrder_RealOrder_ltr0_norm
- StdOrder_RealOrder_normE
- StdOrder_RealOrder_normr_le0

Answer with up to 8 candidate names, ranked most-necessary first, copied
EXACTLY from the list above.
